player,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,matches
José María Giménez,DF,26.0,5.0,0,1,0,0.0,0.2,0.0,0.0,,9.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Fernando Muslera,GK,34.0,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matías Viña,DF,23.0,4.9,0,3,1,33.3,0.61,0.2,0.0,0.0,26.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Edinson Cavani,FW,33.0,4.7,2,14,5,35.7,2.95,1.05,0.07,0.2,15.4,0,1,1,2.1,1.4,0.1,-0.1,-0.4,Matches
Federico Valverde,MF,22.0,4.6,0,7,1,14.3,1.51,0.22,0.0,0.0,26.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Diego Godín,DF,34.0,4.5,0,2,0,0.0,0.44,0.0,0.0,,8.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Luis Suárez,FW,34.0,4.2,0,13,6,46.2,3.08,1.42,0.0,0.0,18.0,3,0,0,1.6,1.6,0.12,-1.6,-1.6,Matches
Matías Vecino,MF,29.0,3.8,0,3,1,33.3,0.79,0.26,0.0,0.0,21.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Giorgian De Arrascaeta,MF,26.0,2.9,0,6,3,50.0,2.05,1.02,0.0,0.0,19.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Nicolás De La Cruz,MF,23.0,2.9,0,1,0,0.0,0.35,0.0,0.0,,18.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Nahitan Nández,"DF,MF",25.0,4.0,0,1,1,100.0,0.25,0.25,0.0,0.0,21.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Rodrigo Bentancur,MF,23.0,2.8,0,3,1,33.3,1.06,0.35,0.0,0.0,20.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Giovanni González,DF,26.0,1.3,0,1,0,0.0,0.77,0.0,0.0,,20.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Lucas Torreira,MF,24.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Facundo Torres,MF,20.0,1.3,0,7,2,28.6,5.38,1.54,0.0,0.0,18.9,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
Martín Cáceres,"DF,MF",33.0,1.0,0,1,0,0.0,1.0,0.0,0.0,,19.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Sebastián Coates,DF,30.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Brian Ocampo,MF,21.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fernando Gorriarán,MF,26.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jonathan Rodríguez,MF,27.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Maxi Gómez,FW,24.0,0.0,0,1,0,0.0,30.0,0.0,0.0,,9.1,0,0,0,0.7,0.7,0.69,-0.7,-0.7,Matches
Squad Total,,28.3,5.0,2,64,21,32.8,12.8,4.2,0.02,0.05,18.8,3,1,1,6.5,5.7,0.09,-4.5,-4.7,
Opponent Total,,27.7,5.0,2,36,14,38.9,7.2,2.8,0.06,0.14,17.2,2,0,0,3.1,3.1,0.09,-1.1,-1.1,
