player,pos,age,playingtime_mp,playingtime_starts,playingtime_min,playingtime_90s,performance_gls,performance_ast,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per90minutes_gls,per90minutes_ast,per90minutes_g+a,per90minutes_g-pk,per90minutes_g+a-pk,expected_xg,expected_npxg,expected_xa,expected_npxg+xa,per90minutes_xg,per90minutes_xa,per90minutes_xg+xa,per90minutes_npxg,per90minutes_npxg+xa,matches
José María Giménez,DF,26.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,Matches
Fernando Muslera,GK,34.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matías Viña,DF,23.0,5,5,444.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.01,0.09,0.1,0.01,0.1,Matches
Edinson Cavani,FW,33.0,5,5,427.0,4.7,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.42,0.0,0.42,0.21,0.21,2.1,1.4,0.2,1.6,0.45,0.04,0.49,0.29,0.33,Matches
Federico Valverde,MF,22.0,5,5,417.0,4.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.2,1.4,0.04,0.26,0.3,0.04,0.3,Matches
Diego Godín,DF,34.0,5,5,405.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.01,0.01,0.03,0.01,0.03,Matches
Luis Suárez,FW,34.0,5,4,380.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.1,1.7,0.37,0.04,0.41,0.37,0.41,Matches
Matías Vecino,MF,29.0,5,4,343.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.04,0.06,0.1,0.04,0.1,Matches
Giorgian De Arrascaeta,MF,26.0,4,4,264.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8,1.3,0.18,0.26,0.45,0.18,0.45,Matches
Nicolás De La Cruz,MF,23.0,4,4,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.03,0.04,0.06,0.03,0.06,Matches
Nahitan Nández,"DF,MF",25.0,5,3,357.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.01,0.01,0.01,0.01,Matches
Rodrigo Bentancur,MF,23.0,4,3,255.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,0.07,0.05,0.12,0.07,0.12,Matches
Giovanni González,DF,26.0,3,2,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Lucas Torreira,MF,24.0,3,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.08,0.08,0.0,0.08,Matches
Facundo Torres,MF,20.0,5,0,117.0,1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.77,0.0,0.77,0.8,0.8,0.9,1.7,0.59,0.69,1.27,0.59,1.27,Matches
Martín Cáceres,"DF,MF",33.0,3,0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Sebastián Coates,DF,30.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Brian Ocampo,MF,21.0,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fernando Gorriarán,MF,26.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jonathan Rodríguez,MF,27.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.41,Matches
Maxi Gómez,FW,24.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,20.6,0.0,20.6,20.6,20.6,Matches
Ronald Araújo,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Martín Campaña,GK,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Camilo Cándido,MF,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sergio Rochet,GK,27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Brian Rodríguez,FW,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,28.3,5,55,450.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,0.4,0.2,0.6,0.2,0.4,6.5,5.7,4.3,10.0,1.22,0.8,2.02,1.08,1.88,
Opponent Total,,27.7,5,55,450.0,5.0,2.0,2.0,2.0,0.0,0.0,9.0,0.0,0.4,0.4,0.8,0.4,0.8,3.1,3.1,2.3,5.4,0.57,0.44,1.01,0.57,1.01,
