player,pos,age,90s,tackles_tkl,tackles_tklw,tackles_def 3rd,tackles_mid 3rd,tackles_att 3rd,vsdribbles_tkl,vsdribbles_att,vsdribbles_tkl%,vsdribbles_past,pressures_press,pressures_succ,pressures_%,pressures_def 3rd,pressures_mid 3rd,pressures_att 3rd,blocks_blocks,blocks_sh,blocks_shsv,blocks_pass,int,tkl+int,clr,err,matches
Luis Mago,DF,26.0,4.0,10,6,9,1,0,5,13,38.5,8,51,16,31.4,40,9,2,6,2,0,4,9,19,21,0,Matches
Junior Moreno,MF,27.0,3.9,6,6,1,5,0,2,5,40.0,3,70,23,32.9,20,40,10,6,2,0,4,2,8,8,0,Matches
Cristian Cásseres Jr.,"FW,MF",21.0,3.4,5,2,1,1,3,1,5,20.0,4,96,15,15.6,46,36,14,5,1,0,4,1,6,1,0,Matches
Alexander González,DF,28.0,3.2,6,6,5,1,0,5,11,45.5,6,58,11,19.0,27,22,9,6,1,0,5,7,13,6,1,Matches
José Andrés Martínez,"FW,MF",26.0,3.2,9,6,5,3,1,6,11,54.5,5,85,26,30.6,38,32,15,4,0,0,4,3,12,1,0,Matches
Wuilker Faríñez,GK,22.0,3.0,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,0,0,0,0,0,0,0,0,Matches
Adrián Martínez,DF,27.0,3.0,7,4,4,3,0,3,4,75.0,1,28,12,42.9,21,5,2,7,3,0,4,9,16,21,1,Matches
Yohan Cumana,DF,24.0,2.8,2,2,2,0,0,2,6,33.3,4,56,15,26.8,35,14,7,10,1,1,9,3,5,7,0,Matches
Fernando Aristeguieta,FW,28.0,2.4,4,4,2,1,1,2,5,40.0,3,62,11,17.7,11,34,17,2,2,0,0,3,7,2,0,Matches
Francisco La Mantía,DF,24.0,2.0,1,0,1,0,0,0,3,0.0,3,14,3,21.4,13,1,0,4,3,0,1,4,5,12,0,Matches
Edson Castillo,MF,26.0,1.9,9,7,5,4,0,6,7,85.7,1,41,14,34.1,19,22,0,3,1,0,2,10,19,4,0,Matches
Bernaldo Manzano,"MF,FW",30.0,1.6,1,1,0,1,0,1,2,50.0,1,30,5,16.7,16,12,2,1,1,0,0,0,1,4,0,Matches
Sergio Córdova,FW,23.0,1.5,1,0,0,0,1,0,1,0.0,1,25,5,20.0,3,14,8,2,0,0,2,1,2,1,0,Matches
Ronald Hernández,DF,23.0,1.2,2,1,1,1,0,1,1,100.0,0,8,5,62.5,5,3,0,1,0,0,1,2,4,1,0,Matches
Nahuel Ferraresi,DF,22.0,1.0,2,0,1,0,1,2,3,66.7,1,8,1,12.5,4,3,1,1,0,0,1,4,6,3,0,Matches
Joel Graterol,GK,23.0,1.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
José Manuel Velázquez,DF,30.0,1.0,0,0,0,0,0,0,1,0.0,1,3,2,66.7,3,0,0,2,1,0,1,1,1,5,0,Matches
Mikel Villanueva,DF,27.0,1.0,2,2,2,0,0,0,0,,0,5,3,60.0,4,1,0,1,1,0,0,4,6,5,0,Matches
Roberto Rosales,DF,32.0,0.8,4,4,0,3,1,1,3,33.3,2,15,5,33.3,7,6,2,2,0,0,2,2,6,0,0,Matches
Jefferson Savarino,FW,24.0,0.6,0,0,0,0,0,0,0,,0,8,1,12.5,3,3,2,1,0,0,1,1,1,0,0,Matches
Yangel Herrera,MF,23.0,0.4,0,0,0,0,0,0,1,0.0,1,5,0,0.0,2,2,1,0,0,0,0,0,0,0,0,Matches
Rómulo Otero,FW,28.0,0.4,0,0,0,0,0,0,0,,0,4,1,25.0,1,2,1,1,0,0,1,0,0,0,0,Matches
Jan Carlos Hurtado,FW,20.0,0.3,0,0,0,0,0,0,0,,0,15,3,20.0,0,10,5,0,0,0,0,0,0,1,0,Matches
Richard Celis,MF,24.0,0.3,4,2,2,2,0,2,3,66.7,1,13,3,23.1,5,6,2,2,0,0,2,2,6,1,0,Matches
Yeferson Soteldo,"FW,MF",23.0,0.2,0,0,0,0,0,0,0,,0,7,1,14.3,1,3,3,0,0,0,0,0,0,0,0,Matches
Squad Total,,26.0,4.0,75,53,41,26,8,39,87,44.8,48,710,182,25.6,327,280,103,67,19,1,48,68,143,104,2,
Opponent Total,,27.3,4.0,77,43,28,32,17,30,71,42.3,41,704,233,33.1,185,317,202,52,10,0,42,50,127,78,0,
