player,pos,age,90s,sca_sca,sca_sca90,scatypes_passlive,scatypes_passdead,scatypes_drib,scatypes_sh,scatypes_fld,scatypes_def,gca_gca,gca_gca90,gcatypes_passlive,gcatypes_passdead,gcatypes_drib,gcatypes_sh,gcatypes_fld,gcatypes_def,matches
Luis Mago,DF,26.0,4.0,4,1.0,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Junior Moreno,MF,27.0,3.9,4,1.03,3,1,0,0,0,0,1,0.26,1,0,0,0,0,0,Matches
Cristian Cásseres Jr.,"FW,MF",21.0,3.4,5,1.45,2,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alexander González,DF,28.0,3.2,4,1.25,2,0,1,1,0,0,1,0.31,1,0,0,0,0,0,Matches
José Andrés Martínez,"FW,MF",26.0,3.2,4,1.25,4,0,0,0,0,0,1,0.31,1,0,0,0,0,0,Matches
Wuilker Faríñez,GK,22.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Adrián Martínez,DF,27.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yohan Cumana,DF,24.0,2.8,2,0.7,0,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Fernando Aristeguieta,FW,28.0,2.4,2,0.84,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Francisco La Mantía,DF,24.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Edson Castillo,MF,26.0,1.9,2,1.08,2,0,0,0,0,0,1,0.54,1,0,0,0,0,0,Matches
Bernaldo Manzano,"MF,FW",30.0,1.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sergio Córdova,FW,23.0,1.5,3,2.03,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ronald Hernández,DF,23.0,1.2,1,0.84,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nahuel Ferraresi,DF,22.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Joel Graterol,GK,23.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
José Manuel Velázquez,DF,30.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mikel Villanueva,DF,27.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Roberto Rosales,DF,32.0,0.8,1,1.32,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jefferson Savarino,FW,24.0,0.6,1,1.55,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Yangel Herrera,MF,23.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rómulo Otero,FW,28.0,0.4,3,8.44,0,2,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Jan Carlos Hurtado,FW,20.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Richard Celis,MF,24.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yeferson Soteldo,"FW,MF",23.0,0.2,1,4.09,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,26.0,4.0,37,9.25,20,7,3,4,3,0,4,1.0,4,0,0,0,0,0,
Opponent Total,,27.3,4.0,98,24.5,56,14,9,10,6,3,7,1.75,1,0,2,3,1,0,
