player,pos,age,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerialduels_won,aerialduels_lost,aerialduels_won%,matches
Luis Mago,DF,26.0,4.0,1,0,0,3,2,0,0,9,6,0,0,0,20,11,7,61.1,Matches
Junior Moreno,MF,27.0,3.9,0,0,0,3,4,0,1,2,6,0,0,0,44,4,4,50.0,Matches
Cristian Cásseres Jr.,"FW,MF",21.0,3.4,0,0,0,9,8,1,2,1,2,0,0,0,14,0,2,0.0,Matches
Alexander González,DF,28.0,3.2,0,0,0,4,3,0,6,7,6,0,0,0,21,0,4,0.0,Matches
José Andrés Martínez,"FW,MF",26.0,3.2,1,0,0,6,6,0,4,3,6,0,0,0,31,4,4,50.0,Matches
Wuilker Faríñez,GK,22.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,Matches
Adrián Martínez,DF,27.0,3.0,0,0,0,3,3,0,0,9,4,0,0,0,12,6,0,100.0,Matches
Yohan Cumana,DF,24.0,2.8,1,0,0,3,5,1,3,3,2,0,1,0,11,4,3,57.1,Matches
Fernando Aristeguieta,FW,28.0,2.4,1,0,0,7,4,1,0,3,4,0,0,0,9,7,15,31.8,Matches
Francisco La Mantía,DF,24.0,2.0,1,0,0,1,1,0,0,4,0,0,0,0,4,2,2,50.0,Matches
Edson Castillo,MF,26.0,1.9,0,0,0,2,6,0,0,10,7,0,0,0,19,2,3,40.0,Matches
Bernaldo Manzano,"MF,FW",30.0,1.6,1,0,0,4,2,0,0,0,1,0,0,0,15,3,2,60.0,Matches
Sergio Córdova,FW,23.0,1.5,0,0,0,2,0,1,1,1,0,0,0,0,6,9,10,47.4,Matches
Ronald Hernández,DF,23.0,1.2,1,0,0,1,1,1,1,2,1,0,0,0,7,1,4,20.0,Matches
Nahuel Ferraresi,DF,22.0,1.0,0,0,0,2,1,0,0,4,0,0,0,0,5,3,1,75.0,Matches
Joel Graterol,GK,23.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,Matches
José Manuel Velázquez,DF,30.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,50.0,Matches
Mikel Villanueva,DF,27.0,1.0,0,0,0,1,1,0,0,4,2,0,0,0,4,5,0,100.0,Matches
Roberto Rosales,DF,32.0,0.8,0,0,0,1,0,0,3,2,4,0,0,0,4,0,0,,Matches
Jefferson Savarino,FW,24.0,0.6,0,0,0,0,0,0,1,1,0,0,0,0,4,0,1,0.0,Matches
Yangel Herrera,MF,23.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,33.3,Matches
Rómulo Otero,FW,28.0,0.4,0,0,0,1,2,0,1,0,0,0,0,0,6,0,0,,Matches
Jan Carlos Hurtado,FW,20.0,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.0,Matches
Richard Celis,MF,24.0,0.3,0,0,0,3,1,0,0,2,2,0,0,0,4,0,0,,Matches
Yeferson Soteldo,"FW,MF",23.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
Squad Total,,26.0,4.0,8,0,0,52,47,5,24,68,53,0,1,0,262,63,67,48.5,
Opponent Total,,27.3,4.0,7,1,0,48,46,9,60,50,43,1,0,0,328,67,63,51.5,
