player,pos,age,90s,att,passtypes_live,passtypes_dead,passtypes_fk,passtypes_tb,passtypes_press,passtypes_sw,passtypes_crs,passtypes_ck,cornerkicks_in,cornerkicks_out,cornerkicks_str,height_ground,height_low,height_high,bodyparts_left,bodyparts_right,bodyparts_head,bodyparts_ti,bodyparts_other,outcomes_cmp,outcomes_off,outcomes_out,outcomes_int,outcomes_blocks,matches
Luis Mago,DF,26.0,4.0,124,118,6,5,0,19,7,0,0,0,0,0,84,15,25,103,14,1,1,0,101,1,5,0,4,Matches
Junior Moreno,MF,27.0,3.9,188,183,5,5,0,43,11,1,0,0,0,0,134,19,35,16,164,6,0,0,163,1,3,2,5,Matches
Cristian Cásseres Jr.,"FW,MF",21.0,3.4,95,79,16,4,0,26,5,2,12,6,4,0,61,14,20,8,86,1,0,0,56,0,2,5,6,Matches
Alexander González,DF,28.0,3.2,117,94,23,2,0,18,0,6,0,0,0,0,62,24,31,5,88,3,21,0,78,0,4,8,5,Matches
José Andrés Martínez,"FW,MF",26.0,3.2,101,101,0,0,0,27,2,4,0,0,0,0,66,20,15,4,89,4,0,0,70,0,1,3,11,Matches
Wuilker Faríñez,GK,22.0,3.0,96,49,47,16,0,8,3,0,0,0,0,0,44,4,48,8,69,0,0,14,63,0,2,0,0,Matches
Adrián Martínez,DF,27.0,3.0,87,80,7,6,0,7,0,0,0,0,0,0,71,3,13,5,78,1,1,0,73,0,1,5,2,Matches
Yohan Cumana,DF,24.0,2.8,54,40,14,1,0,10,1,3,0,0,0,0,30,11,13,36,3,0,13,0,40,0,1,4,1,Matches
Fernando Aristeguieta,FW,28.0,2.4,46,40,6,0,0,14,0,0,0,0,0,0,28,12,6,5,27,5,0,2,34,0,0,3,0,Matches
Francisco La Mantía,DF,24.0,2.0,61,57,4,4,0,8,3,0,0,0,0,0,48,4,9,2,57,1,0,0,52,0,2,2,0,Matches
Edson Castillo,MF,26.0,1.9,68,67,1,1,1,19,1,0,0,0,0,0,46,11,11,7,56,4,0,0,51,1,2,6,2,Matches
Bernaldo Manzano,"MF,FW",30.0,1.6,70,68,2,2,0,20,4,0,0,0,0,0,49,7,14,6,58,3,0,0,64,0,0,1,1,Matches
Sergio Córdova,FW,23.0,1.5,34,30,4,0,0,16,1,1,0,0,0,0,23,7,4,3,24,0,0,0,26,0,0,1,1,Matches
Ronald Hernández,DF,23.0,1.2,52,46,6,1,0,10,3,1,0,0,0,0,33,4,15,18,27,0,5,1,38,0,0,1,1,Matches
Nahuel Ferraresi,DF,22.0,1.0,55,55,0,0,0,5,2,0,0,0,0,0,47,5,3,7,45,1,0,0,49,0,2,2,0,Matches
Joel Graterol,GK,23.0,1.0,29,14,15,5,0,1,0,0,0,0,0,0,13,1,15,3,17,0,0,8,19,0,2,0,0,Matches
José Manuel Velázquez,DF,30.0,1.0,16,15,1,1,0,3,0,0,0,0,0,0,10,2,4,2,13,1,0,0,12,0,1,1,0,Matches
Mikel Villanueva,DF,27.0,1.0,34,33,1,1,0,6,0,0,0,0,0,0,28,1,5,22,9,1,0,0,29,0,0,1,1,Matches
Roberto Rosales,DF,32.0,0.8,46,41,5,0,0,8,1,3,0,0,0,0,29,5,12,9,30,2,5,0,38,0,0,0,1,Matches
Jefferson Savarino,FW,24.0,0.6,19,17,2,1,0,8,1,1,1,0,1,0,11,2,6,5,14,0,0,0,14,0,0,0,1,Matches
Yangel Herrera,MF,23.0,0.4,9,9,0,0,0,1,0,0,0,0,0,0,4,1,4,2,4,2,0,0,4,0,0,0,0,Matches
Rómulo Otero,FW,28.0,0.4,22,17,5,1,0,4,4,1,4,2,2,0,13,2,7,1,21,0,0,0,17,0,0,1,0,Matches
Jan Carlos Hurtado,FW,20.0,0.3,2,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,Matches
Richard Celis,MF,24.0,0.3,7,7,0,0,0,2,0,0,0,0,0,0,4,1,2,0,7,0,0,0,4,0,0,1,0,Matches
Yeferson Soteldo,"FW,MF",23.0,0.2,12,12,0,0,0,4,0,1,0,0,0,0,7,2,3,3,9,0,0,0,5,0,1,1,1,Matches
Squad Total,,26.0,4.0,1444,1274,170,56,1,288,49,24,17,8,7,0,945,178,321,281,1010,36,46,25,1102,3,29,48,43,
Opponent Total,,27.3,4.0,2421,2256,165,56,7,304,54,60,24,9,11,1,1803,282,336,779,1469,47,65,26,2116,7,20,64,47,
