player,pos,age,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches
Luis Mago,DF,26.0,4.0,101,124,81.5,2166,732,33,36,91.7,49,51,96.1,18,33,54.5,0,0.1,-0.1,1,9,0,0,5,Matches
Junior Moreno,MF,27.0,3.9,163,188,86.7,3286,767,66,71,93.0,67,73,91.8,26,35,74.3,0,0.0,0.0,0,17,0,0,13,Matches
Cristian Cásseres Jr.,"FW,MF",21.0,3.4,56,95,58.9,935,267,28,33,84.8,18,25,72.0,6,23,26.1,0,0.2,-0.2,5,4,1,1,2,Matches
Alexander González,DF,28.0,3.2,78,117,66.7,1349,700,40,50,80.0,29,37,78.4,7,23,30.4,0,0.1,-0.1,1,11,0,0,9,Matches
José Andrés Martínez,"FW,MF",26.0,3.2,70,101,69.3,1169,298,40,47,85.1,20,29,69.0,8,13,61.5,1,0.7,0.3,3,5,1,1,5,Matches
Wuilker Faríñez,GK,22.0,3.0,63,96,65.6,1900,1263,10,10,100.0,34,34,100.0,19,52,36.5,0,0.0,0.0,0,1,0,0,0,Matches
Adrián Martínez,DF,27.0,3.0,73,87,83.9,1427,723,25,28,89.3,39,46,84.8,8,11,72.7,0,0.0,0.0,0,3,1,0,4,Matches
Yohan Cumana,DF,24.0,2.8,40,54,74.1,659,323,20,25,80.0,15,18,83.3,4,9,44.4,0,0.0,0.0,1,2,0,0,5,Matches
Fernando Aristeguieta,FW,28.0,2.4,34,46,73.9,408,81,26,32,81.3,8,11,72.7,0,0,,0,0.0,0.0,1,0,0,0,2,Matches
Francisco La Mantía,DF,24.0,2.0,52,61,85.2,1141,268,17,19,89.5,24,24,100.0,11,18,61.1,0,0.0,0.0,0,0,0,0,0,Matches
Edson Castillo,MF,26.0,1.9,51,68,75.0,893,273,24,27,88.9,20,24,83.3,5,9,55.6,1,0.2,0.8,1,4,2,0,6,Matches
Bernaldo Manzano,"MF,FW",30.0,1.6,64,70,91.4,1436,224,24,28,85.7,25,27,92.6,15,15,100.0,0,0.0,0.0,0,5,0,0,1,Matches
Sergio Córdova,FW,23.0,1.5,26,34,76.5,364,38,17,19,89.5,6,10,60.0,2,3,66.7,0,0.0,0.0,2,1,0,0,1,Matches
Ronald Hernández,DF,23.0,1.2,38,52,73.1,670,214,21,22,95.5,11,14,78.6,5,14,35.7,0,0.0,0.0,1,1,1,1,2,Matches
Nahuel Ferraresi,DF,22.0,1.0,49,55,89.1,998,431,12,14,85.7,29,32,90.6,7,8,87.5,0,0.0,0.0,0,4,0,0,4,Matches
Joel Graterol,GK,23.0,1.0,19,29,65.5,600,413,5,5,100.0,8,8,100.0,6,16,37.5,0,0.0,0.0,0,0,0,0,0,Matches
José Manuel Velázquez,DF,30.0,1.0,12,16,75.0,259,55,5,5,100.0,5,6,83.3,2,5,40.0,0,0.0,0.0,0,0,0,0,0,Matches
Mikel Villanueva,DF,27.0,1.0,29,34,85.3,737,190,5,6,83.3,13,15,86.7,11,12,91.7,0,0.0,0.0,0,0,0,0,0,Matches
Roberto Rosales,DF,32.0,0.8,38,46,82.6,700,205,19,19,100.0,14,17,82.4,4,8,50.0,0,0.0,0.0,0,3,1,0,5,Matches
Jefferson Savarino,FW,24.0,0.6,14,19,73.7,218,55,7,8,87.5,4,4,100.0,1,4,25.0,0,0.0,0.0,0,1,0,0,2,Matches
Yangel Herrera,MF,23.0,0.4,4,9,44.4,72,7,2,3,66.7,1,3,33.3,1,3,33.3,0,0.0,0.0,0,0,0,0,0,Matches
Rómulo Otero,FW,28.0,0.4,17,22,77.3,375,110,6,7,85.7,7,9,77.8,4,6,66.7,0,0.1,-0.1,2,0,1,0,2,Matches
Jan Carlos Hurtado,FW,20.0,0.3,2,2,100.0,23,10,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
Richard Celis,MF,24.0,0.3,4,7,57.1,51,10,3,4,75.0,1,1,100.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Matches
Yeferson Soteldo,"FW,MF",23.0,0.2,5,12,41.7,67,13,3,7,42.9,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,26.0,4.0,1102,1444,76.3,21903,7670,458,525,87.2,450,522,86.2,170,323,52.6,2,1.4,0.6,18,71,8,3,69,
Opponent Total,,27.3,4.0,2116,2421,87.4,40636,12220,854,937,91.1,938,1006,93.2,286,398,71.9,2,6.3,-4.3,46,217,50,15,170,
