player,pos,age,90s,touches_touches,touches_def pen,touches_def 3rd,touches_mid 3rd,touches_att 3rd,touches_att pen,touches_live,dribbles_succ,dribbles_att,dribbles_succ%,dribbles_#pl,dribbles_megs,carries_carries,carries_totdist,carries_prgdist,carries_prog,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_targ,receiving_rec,receiving_rec%,receiving_prog,matches
Luis Mago,DF,26.0,4.0,170,29,100,71,9,6,165,0,0,,0,0,96,549,321,9,2,0,2,0,100,98,98.0,0,Matches
Junior Moreno,MF,27.0,3.9,217,9,67,140,22,2,213,0,1,0.0,0,0,145,571,296,13,4,0,1,3,157,145,92.4,1,Matches
Cristian Cásseres Jr.,"FW,MF",21.0,3.4,123,3,27,65,41,2,108,8,12,66.7,9,0,94,369,146,7,2,0,6,3,118,82,69.5,14,Matches
Alexander González,DF,28.0,3.2,155,14,48,72,43,2,133,10,14,71.4,10,0,111,556,352,15,2,1,3,9,98,83,84.7,4,Matches
José Andrés Martínez,"FW,MF",26.0,3.2,139,4,27,84,38,3,139,6,13,46.2,7,2,111,562,318,13,3,1,7,7,120,87,72.5,9,Matches
Wuilker Faríñez,GK,22.0,3.0,108,100,108,0,0,0,62,0,0,,0,0,30,87,45,0,0,0,0,0,28,28,100.0,0,Matches
Adrián Martínez,DF,27.0,3.0,128,33,85,47,2,2,122,1,2,50.0,1,0,72,319,200,3,0,0,0,2,70,67,95.7,0,Matches
Yohan Cumana,DF,24.0,2.8,84,10,32,38,19,0,71,1,2,50.0,1,0,46,246,142,5,2,0,3,3,53,36,67.9,7,Matches
Fernando Aristeguieta,FW,28.0,2.4,75,3,8,43,25,5,69,4,6,66.7,4,1,45,102,37,0,0,0,11,2,106,44,41.5,8,Matches
Francisco La Mantía,DF,24.0,2.0,80,20,59,22,2,1,76,0,0,,0,0,50,229,95,0,0,0,0,0,52,51,98.1,0,Matches
Edson Castillo,MF,26.0,1.9,96,7,33,55,11,2,96,1,3,33.3,1,0,48,229,108,3,1,0,2,0,52,48,92.3,0,Matches
Bernaldo Manzano,"MF,FW",30.0,1.6,78,3,23,54,7,0,76,2,2,100.0,2,0,58,192,70,3,0,0,0,1,58,54,93.1,1,Matches
Sergio Córdova,FW,23.0,1.5,53,1,5,34,18,4,49,4,5,80.0,4,1,32,96,51,3,1,1,4,3,69,35,50.7,6,Matches
Ronald Hernández,DF,23.0,1.2,61,2,19,30,17,2,55,0,1,0.0,0,0,41,294,184,7,2,0,0,0,47,41,87.2,3,Matches
Nahuel Ferraresi,DF,22.0,1.0,66,8,39,26,4,1,66,1,1,100.0,1,0,41,252,173,6,1,0,0,0,52,50,96.2,0,Matches
Joel Graterol,GK,23.0,1.0,31,29,31,0,0,0,17,0,0,,0,0,12,79,54,0,0,0,0,0,4,4,100.0,0,Matches
José Manuel Velázquez,DF,30.0,1.0,23,3,15,9,0,0,22,0,0,,0,0,13,43,28,1,0,0,0,0,13,13,100.0,0,Matches
Mikel Villanueva,DF,27.0,1.0,43,11,36,6,2,1,42,0,0,,0,0,24,133,71,0,0,0,0,0,25,25,100.0,0,Matches
Roberto Rosales,DF,32.0,0.8,56,3,11,29,21,1,51,0,1,0.0,0,0,31,203,135,5,2,0,0,1,42,37,88.1,5,Matches
Jefferson Savarino,FW,24.0,0.6,33,0,3,18,13,2,31,0,1,0.0,0,0,24,80,42,2,0,0,2,5,31,24,77.4,5,Matches
Yangel Herrera,MF,23.0,0.4,10,0,2,7,1,0,10,0,0,,0,0,6,8,5,0,0,0,1,0,9,7,77.8,1,Matches
Rómulo Otero,FW,28.0,0.4,30,0,2,14,21,0,26,0,2,0.0,0,0,24,152,97,5,5,0,0,4,20,19,95.0,3,Matches
Jan Carlos Hurtado,FW,20.0,0.3,5,1,1,0,4,2,5,0,0,,0,0,3,0,0,0,0,0,0,2,13,2,15.4,1,Matches
Richard Celis,MF,24.0,0.3,20,0,5,12,6,0,20,0,2,0.0,0,0,11,94,69,1,1,0,2,2,10,8,80.0,0,Matches
Yeferson Soteldo,"FW,MF",23.0,0.2,15,0,0,6,13,3,15,1,3,33.3,1,0,15,136,87,5,1,2,0,0,15,14,93.3,1,Matches
Squad Total,,26.0,4.0,1899,293,786,882,339,41,1739,39,71,54.9,41,4,1183,5581,3126,106,29,5,44,47,1362,1102,80.9,69,
Opponent Total,,27.3,4.0,2907,162,719,1531,816,132,2748,44,87,50.6,48,2,2100,9185,5190,201,47,11,55,36,2387,2116,88.6,170,
