player,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,matches
Luis Mago,DF,26.0,4.0,0,4,1,25.0,1.0,0.25,0.0,0.0,19.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Junior Moreno,MF,27.0,3.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Cristian Cásseres Jr.,"FW,MF",21.0,3.4,0,1,0,0.0,0.29,0.0,0.0,,13.0,0,0,0,0.3,0.3,0.25,-0.3,-0.3,Matches
Alexander González,DF,28.0,3.2,0,1,0,0.0,0.31,0.0,0.0,,23.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
José Andrés Martínez,"FW,MF",26.0,3.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Wuilker Faríñez,GK,22.0,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Adrián Martínez,DF,27.0,3.0,0,2,0,0.0,0.67,0.0,0.0,,9.0,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
Yohan Cumana,DF,24.0,2.8,0,1,0,0.0,0.35,0.0,0.0,,22.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Fernando Aristeguieta,FW,28.0,2.4,0,1,0,0.0,0.42,0.0,0.0,,63.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Francisco La Mantía,DF,24.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Edson Castillo,MF,26.0,1.9,1,3,2,66.7,1.62,1.08,0.33,0.5,16.7,0,0,0,0.4,0.4,0.13,0.6,0.6,Matches
Bernaldo Manzano,"MF,FW",30.0,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sergio Córdova,FW,23.0,1.5,0,3,0,0.0,2.03,0.0,0.0,,13.6,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
Ronald Hernández,DF,23.0,1.2,1,2,2,100.0,1.68,1.68,0.5,0.5,13.7,0,0,0,0.2,0.2,0.12,0.8,0.8,Matches
Nahuel Ferraresi,DF,22.0,1.0,0,2,0,0.0,2.0,0.0,0.0,,17.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Joel Graterol,GK,23.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
José Manuel Velázquez,DF,30.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mikel Villanueva,DF,27.0,1.0,0,1,0,0.0,1.0,0.0,0.0,,6.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Roberto Rosales,DF,32.0,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jefferson Savarino,FW,24.0,0.6,0,3,2,66.7,4.66,3.1,0.0,0.0,26.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Yangel Herrera,MF,23.0,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rómulo Otero,FW,28.0,0.4,0,1,0,0.0,2.81,0.0,0.0,,27.8,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Jan Carlos Hurtado,FW,20.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Richard Celis,MF,24.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yeferson Soteldo,"FW,MF",23.0,0.2,0,1,0,0.0,4.09,0.0,0.0,,12.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Squad Total,,26.0,4.0,2,26,7,26.9,6.5,1.75,0.08,0.29,19.1,1,0,0,2.2,2.2,0.09,-0.2,-0.2,
Opponent Total,,27.3,4.0,6,69,23,33.3,17.25,5.75,0.07,0.22,14.9,0,1,1,11.1,10.4,0.16,-5.1,-5.4,
